"Name","Path","State","Execute","Arg","WorkDir","Trigger"
"HybridDriveCacheRebalance","\Microsoft\Windows\Sysmain\","Disabled","","","",":"
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\","Ready","","","",":"
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\","Ready","%windir%\system32\rundll32.exe","sysmain.dll,PfSvWsSwapAssessmentTask","",":"
"SR","\Microsoft\Windows\SystemRestore\","Ready","%windir%\system32\srtasks.exe","ExecuteScheduledSPPCreation","",":"
"Interactive","\Microsoft\Windows\Task Manager\","Ready","","","",":"
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","Ready","","","","MSFT_TaskLogonTrigger:"
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready","%windir%\system32\sc.exe","start w32time task_started","","MSFT_TaskTrigger:"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Ready","%windir%\system32\tzsync.exe","","",":"
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Ready","sc.exe","config upnphost start= auto","",":"
"Usb-Notifications","\Microsoft\Windows\USB\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"WiFiTask","\Microsoft\Windows\WCM\","Ready","%SystemRoot%\System32\WiFiTask.exe","","","MSFT_TaskTrigger:"
"ResolutionHost","\Microsoft\Windows\WDI\","Running","","","",":"
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","Ready","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe","-IdleTask -TaskName WdCacheMaintenance","",":"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","Ready","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe","-IdleTask -TaskName WdCleanup","",":"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","Ready","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe","Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob","",":"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","Ready","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe","-IdleTask -TaskName WdVerification","",":"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Ready","%windir%\system32\wermgr.exe","-upload","","MSFT_TaskBootTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTimeTrigger:2015-01-01T09:00:00+09:00"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","Ready","%windir%\system32\rundll32.exe","bfe.dll,BfeOnServiceStartTypeChange","","MSFT_TaskEventTrigger:"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","Ready","""%ProgramFiles%\Windows Media Player\wmpnscfg.exe""","","","MSFT_TaskEventTrigger:"
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","Ready","","","","MSFT_TaskLogonTrigger:;MSFT_TaskSessionStateChangeTrigger:"
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","Ready","%systemroot%\System32\sc.exe","start wuauserv","","MSFT_TaskTimeTrigger:2010-10-15T09:00:00+09:00;MSFT_TaskSessionStateChangeTrigger:;MSFT_TaskSessionStateChangeTrigger:;MSFT_TaskTrigger:"
"CacheTask","\Microsoft\Windows\Wininet\","Running","","","","MSFT_TaskLogonTrigger:"
"CDSSync","\Microsoft\Windows\WlanSvc\","Ready","","","","MSFT_TaskTrigger:"
"MoProfileManagement","\Microsoft\Windows\WlanSvc\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","Ready","","","","MSFT_TaskLogonTrigger:"
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","Ready","","","","MSFT_TaskLogonTrigger:"
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","Disabled","%SystemRoot%\System32\dsregcmd.exe","$(Arg0) $(Arg1) $(Arg2)","","MSFT_TaskLogonTrigger:;MSFT_TaskEventTrigger:"
"Device-Sync","\Microsoft\Windows\Workplace Join\","Disabled","","","","MSFT_TaskTrigger:"
"Recovery-Check","\Microsoft\Windows\Workplace Join\","Disabled","%SystemRoot%\System32\dsregcmd.exe","/checkrecovery","","MSFT_TaskLogonTrigger:;MSFT_TaskSessionStateChangeTrigger:"
"NotificationTask","\Microsoft\Windows\WwanSvc\","Ready","%SystemRoot%\System32\WiFiTask.exe","wwan","","MSFT_TaskTrigger:"
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTrigger:;MSFT_TaskTrigger:"
"XblGameSaveTask","\Microsoft\XblGameSave\","Ready","%windir%\System32\XblGameSaveTask.exe","standby","","MSFT_TaskIdleTrigger:"
"Autorun for takuy","\PowerToys\","Ready","C:\Program Files\PowerToys\PowerToys.exe","","","MSFT_TaskLogonTrigger:"
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-2420480317-912072061-2085329558-1001\","Ready","","","","MSFT_TaskTrigger:;MSFT_TaskTimeTrigger:2026-04-09T13:52:00+09:00;MSFT_TaskTimeTrigger:2026-04-10T00:56:50+09:00"
"SoftLandingDeferralTask-{0820904e-2ce3-49ba-8956-187180cfd6a2}","\SoftLanding\S-1-5-21-2420480317-912072061-2085329558-1001\","Ready","","","","MSFT_TaskTimeTrigger:2026-05-01T10:01:00+09:00"
"SoftLandingTriggerTask-128000000001615609-render-{dc139e52-9db3-4943-aaf0-c6f497090fae}","\SoftLanding\S-1-5-21-2420480317-912072061-2085329558-1001\","Disabled","","","","MSFT_TaskTimeTrigger:2026-05-01T10:02:51+09:00"
